ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
4,0.0209706611931324,0.0031728462781757,0.13041719794273376,0.2802664637565613,0.01971861533820629,0.20750175416469574,0.25876566767692566,H1975,4.0,control,15
1,0.1161435693502426,0.00230607483536,0.10196005553007126,0.19489872455596924,0.006839989684522152,0.12999075651168823,0.1464402824640274,H1975,4.0,control,16
2,0.0795742496848106,0.0012788086896762,0.07816816121339798,0.14933066070079803,0.034782420843839645,0.09555631130933762,0.10784044861793518,H1975,4.0,control,16
3,0.2677676081657409,0.0054515316151082,0.2756178081035614,0.3714140057563782,0.1800805926322937,0.3067767024040222,0.3252083361148834,H1975,4.0,control,16
4,0.1153820157051086,0.0098659470677375,0.23337595164775848,0.2991725206375122,0.17328423261642456,0.25741297006607056,0.26760727167129517,H1975,4.0,control,16
5,0.3214240372180938,0.0076728644780814,0.3023267686367035,0.4296531677246094,0.1806759089231491,0.34152230620384216,0.3654596209526062,H1975,4.0,control,16
1,0.1167842596769332,0.0010272946674376,0.13519784808158875,0.1932545155286789,0.08557616919279099,0.1498013138771057,0.15813960134983063,H1975,4.0,control,17
1,0.1160618886351585,0.0013418855378404,0.11533904820680618,0.21026605367660522,0.033449046313762665,0.1352447122335434,0.1493411511182785,H1975,4.0,control,18
1,0.0641531571745872,0.0131643107160925,0.0,0.0,0.0,0.0,0.0,H1975,4.0,control,2
2,0.2213810384273529,0.0055294083431363,0.2263714224100113,0.3572279214859009,0.07624842971563339,0.2716825604438782,0.29719939827919006,H1975,4.0,control,2
3,0.1020479798316955,0.0036582613829523,0.12101300060749054,0.21716497838497162,0.0524112768471241,0.14542432129383087,0.16385963559150696,H1975,4.0,control,2
1,0.1091682985424995,0.0142567902803421,0.18185769021511078,0.37940794229507446,0.014915845356881618,0.23880894482135773,0.27655062079429626,H1975,4.0,control,3
2,0.1261364519596099,0.0027833005879074,0.12699761986732483,0.21986901760101318,0.019186843186616898,0.15721963346004486,0.1777462363243103,H1975,4.0,control,3
3,0.1270559728145599,0.0023964042775332,0.11571978777647018,0.19888046383857727,0.044373031705617905,0.1435583382844925,0.16171811521053314,H1975,4.0,control,3
